date,Revenue,Gross Profit,Operating Income,Pretax Income,Income (Loss) from Cont Ops,Net Income,Net Income Avail to Common,Diluted EPS,EBITDA,Total Equity,Cash from Operations,Cash from Investing Activities,Cash from Financing Activities,Company
2017-12-31,394.911008,223.807008,209.311008,199.182,129.607,153.494,153.494,1.5558099746704102,314.388992,5581.73708,250.607008,-367.556992,199.191008,FANG
2018-03-31,445.847008,261.342016,235.339008,224.374,178.154,162.131008,162.131008,1.6431050300598145,350.555008,5735.181936,339.427008,-584.931008,205.544992,FANG
2018-06-30,480,267,236,304,301,226.99576,226.99576,2.300930976867676,365.784,6012.466784,424.572992,-613.068992,230.455008,FANG
2018-09-30,496,262,230,213.199008,160,165.008992,165.008992,1.6710480451583862,376,6429.796864,389,-621,627,FANG
2018-12-31,625.833024,268.34304,227.072992,188.968,306.16,148.168992,148.168992,1.2087160348892212,458.711008,14166.262304,412.788992,-1684.084992,977.366016,FANG
2019-03-31,879,379,336,291,43,229,229,1.3867820501327515,662,14513.99968,377,-937,471,FANG
2019-06-30,1023,453,416,369,356,280,280,1.6918660402297974,783,15450.000064,666,-835,369,FANG
2019-09-30,984,404,360,324,388,239,239,1.4675190448760986,732,15489.000448,809,-972,-63,FANG
2019-12-31,1116,486,420,407,-472,308,308,1.9239720106124878,821,14906,887,-1144,285,FANG
2020-03-31,984,341,294,247,-400,230,230,1.4473119974136353,706,14315.999808,849,-923,101,FANG
2020-06-30,633,128,93,34,-2411.000064,45,45,0.2851189970970154,440,11834.999552,324,-612,192,FANG
2011-03-31,96.068,34.724,25.234,10.181,-58.935,-8.5353,-8.5353,-0.18000000715255737,59.685,1507.612032,70.167,-120.678,41.523,AR
2011-06-30,114.714,44.027,33.516,17.91,74.623,15.7993,15.7993,0.2541869878768921,73.33,1581.81696,41.736,-192.412,154.619008,AR
2011-09-30,132.412,52.247,43.738,23.13,111.078,21.6861,21.6861,0.3678329885005951,86.738,1692.893952,86.543,-374.392,288.086016,AR
2011-12-31,161.092,65.697,50.989,27.852,265.912,10.09085,10.09085,1.1299999952316284,104.245,1958.806016,67.861,-213.767008,145.068992,AR
