date,Revenue,Operating Income,Pretax Income,Income (Loss) from Cont Ops,Net Income,Net Income Avail to Common,Total Equity,Cash from Operations,Cash from Investing Activities,Cash from Financing Activities,Company,target_revenue,target_income
2011-06-30,21.816022,6.863713,6.774857,7.152223,6.9365985,6.9365985,262.442635,6.799079,-56.064996,44.728128,MTDR,18.882,3.413
2011-09-30,18.882,3.413,3.324,6.194,4.3285,4.3285,268.538348,14.911916,-16.682946,-0.383532,MTDR,17.859758,1.398301
2011-12-31,17.859758,1.398301,1.242836,3.416228,1.073744375,1.073744375,271.51519,27.425072,-52.315596,27.406728,MTDR,32.226368,10.369057
2012-03-31,32.226368,10.369057,10.13406,3.800576,5.92585,5.92585,414.096107,5.109846,-52.764016,39.743844,MTDR,40.791,7.673
2012-06-30,40.791,7.673,7.702,-6.676,5.08315,5.08315,407.777,46.416152,-84.112984,44.755156,MTDR,41.379,6.888
2012-09-30,41.379,6.888,6.799,-9.197,1.58585,1.58585,399.228008,28.799,-80.053,46.0,MTDR,55.561,9.433
2012-12-31,55.561,9.433,8.951,-21.188,-1.47545,-1.47545,379.104008,43.903,-89.986,44.0,MTDR,59.711,11.8
2013-03-31,59.711,11.8,10.596,-15.505,1.43075,1.43075,364.104992,32.229,-84.672,55.0,MTDR,58.433,19.187
2013-06-30,58.433,19.187,17.625,25.119,20.2271,20.2271,390.024992,52.309,-91.229,39.999,MTDR,80.703,33.967
2013-09-30,80.703,33.967,31.995,20.105,26.16755,26.16755,552.666024,42.654,-84.183,42.128,MTDR,69.274,23.76
2013-12-31,69.274,23.76,23.036,15.375,15.76825,15.76825,568.923992,52.278,-106.855,54.534,MTDR,77.088,30.365
2014-03-31,77.088,30.365,27.164,16.363,17.18525,17.18525,586.400976,31.945,-93.898,70.006,MTDR,96.141,35.301
2014-06-30,96.141,35.301,37.007,18.226,23.52155,23.52155,787.242016,81.53,-142.320992,61.086,MTDR,95.916,30.236
2014-09-30,95.916,30.236,29.83,29.619,19.02855,19.02855,818.339032,66.884,-173.71,99.914,MTDR,103.589,24.914
2014-12-31,103.589,24.914,23.896,46.546,13.83485,13.83485,866.541032,71.122,-160.602,90.164,MTDR,80.969,3.114
2015-03-31,80.969,3.114,1.428,-50.198,0.4764,0.4764,922.834024,93.346,-166.092,70.4,MTDR,101.628,11.834
2015-06-30,101.628,11.834,6.467,-157.016,7.32545,7.25045,956.346968,20.044,-127.904,155.422,MTDR,92.246,10.334
2015-09-30,92.246,10.334,3.173,-242.014,2.557,2.557,716.603992,72.534,-111.563,-0.707,MTDR,83.024,11.432
2015-12-31,83.024,11.432,3.577,-230.296,-0.59785,-0.52285,488.959008,22.611,-19.595,-0.171,MTDR,51.462,-14.328
2016-03-31,51.462,-14.328,-21.431,-107.667,-13.922,-13.922,525.15196,18.358,-57.932,141.171008,MTDR,71.801,3.337
2016-06-30,71.801,3.337,-1.953,-105.747,-1.338,-1.338,422.529064,31.242,-108.1,-0.598,MTDR,85.53,13.651
2016-09-30,85.53,13.651,6.63,12.047,6.516,6.516,437.793928,46.862,-131.564,64.395,MTDR,97.34,20.468
2016-12-31,97.34,20.468,11.255,104.31,5.969,5.969,691.445056,37.624,-108.044,262.738,MTDR,114.183,37.105
2017-03-31,114.183,37.105,28.727,45.9,36.189552,36.189552,915.496024,61.309,-238.32,173.832,MTDR,116.421,25.799
2017-06-30,116.421,25.799,18.497,31.687,21.74125,21.74125,962.370952,59.933,-131.375,6.986,MTDR,138.651008,38.921
2017-09-30,138.651008,38.921,30.335,17.979,31.7196,31.7196,992.796944,101.274,-227.158,10.299,MTDR,165.306,52.759
2017-12-31,165.306,52.759,46.011,42.441,-17.7514,-17.7514,1257.546,76.609,-222.431008,217.382,MTDR,180.764,62.946
2018-03-31,180.764,62.946,54.508,64.924,39.088,39.088,1362.766048,136.148992,-220.754,34.906,MTDR,209.938,72.564
2018-06-30,209.938,72.564,64.208,65.637,46.118,46.118,1679.748032,118.059,-272.808,245.479008,MTDR,228.515008,89.19
2018-09-30,228.515008,89.19,77.874,25.115,55.737,55.737,1722.442944,165.11,-726.966016,471.351008,MTDR,215.296992,73.486
2018-12-31,215.296992,73.486,191.99,144.088,173.180992,173.180992,1779.656968,189.204992,-294.724992,136.496,MTDR,219.608,53.26
2019-03-31,219.608,53.26,35.221,-9.485,21.93,21.93,1791.529008,59.24,-214.88,118.368,MTDR,235.547008,70.632
2019-06-30,235.547008,70.632,51.773,45.072,34.483408,34.483408,1840.603024,135.256992,-179.814,82.607,MTDR,269.555008,76.255
2019-09-30,269.555008,76.255,57.835,53.753,37.948,37.948,1912.41804,158.63,-244.355008,41.769,MTDR,312.687008,89.06
